Gene stable ID	Transcript stable ID	Protein stable ID	Gene description	Gene name	NCBI gene ID	Gene type
FBgn0020643	FBtr0076992	FBpp0076701	Lcp65Ab2 [Source:FlyBase;Acc:FBgn0020643]	Lcp65Ab2	48381	protein_coding
FBgn0029979	FBtr0071132	FBpp0071084	LD32873p [Source:UniProtKB/TrEMBL;Acc:Q9W3M7]	CG10777	31707	protein_coding
FBgn0029979	FBtr0344137	FBpp0310551	LD32873p [Source:UniProtKB/TrEMBL;Acc:Q9W3M7]	CG10777	31707	protein_coding
FBgn0261954	FBtr0303047	FBpp0292166	enhanced adult sensory threshold [Source:FlyBase;Acc:FBgn0261954]	east	46006	protein_coding
FBgn0261954	FBtr0307290	FBpp0298291	enhanced adult sensory threshold [Source:FlyBase;Acc:FBgn0261954]	east	46006	protein_coding
FBgn0261954	FBtr0303046	FBpp0292165	enhanced adult sensory threshold [Source:FlyBase;Acc:FBgn0261954]	east	46006	protein_coding
FBgn0261954	FBtr0307289	FBpp0298290	enhanced adult sensory threshold [Source:FlyBase;Acc:FBgn0261954]	east	46006	protein_coding
FBgn0261954	FBtr0343522	FBpp0310126	enhanced adult sensory threshold [Source:FlyBase;Acc:FBgn0261954]	east	46006	protein_coding
FBgn0261954	FBtr0070326	FBpp0070312	enhanced adult sensory threshold [Source:FlyBase;Acc:FBgn0261954]	east	46006	protein_coding
FBgn0085195	FBtr0301737	FBpp0290951	RH63170p [Source:UniProtKB/TrEMBL;Acc:Q8MYT4]	CG34166	5740596	protein_coding
FBgn0085195	FBtr0112357	FBpp0111272	RH63170p [Source:UniProtKB/TrEMBL;Acc:Q8MYT4]	CG34166	5740596	protein_coding
FBgn0085195	FBtr0345461	FBpp0311579	RH63170p [Source:UniProtKB/TrEMBL;Acc:Q8MYT4]	CG34166	5740596	protein_coding
FBgn0085195	FBtr0343708	FBpp0310288	RH63170p [Source:UniProtKB/TrEMBL;Acc:Q8MYT4]	CG34166	5740596	protein_coding
FBgn0043577	FBtr0075320	FBpp0075079	PGRP-SB2 [Source:FlyBase;Acc:FBgn0043577]	PGRP-SB2	39869	protein_coding
FBgn0043577	FBtr0333627	FBpp0305802	PGRP-SB2 [Source:FlyBase;Acc:FBgn0043577]	PGRP-SB2	39869	protein_coding
FBgn0031306	FBtr0077957	FBpp0077622	CG4577, isoform B [Source:UniProtKB/TrEMBL;Acc:M9PDX2]	CG4577	33291	protein_coding
FBgn0031306	FBtr0332271	FBpp0304560	CG4577, isoform B [Source:UniProtKB/TrEMBL;Acc:M9PDX2]	CG4577	33291	protein_coding
FBgn0023215	FBtr0070579	FBpp0070554	Mnt [Source:FlyBase;Acc:FBgn0023215]	Mnt	31331	protein_coding
FBgn0023215	FBtr0301823	FBpp0291037	Mnt [Source:FlyBase;Acc:FBgn0023215]	Mnt	31331	protein_coding
FBgn0023215	FBtr0301821	FBpp0291035	Mnt [Source:FlyBase;Acc:FBgn0023215]	Mnt	31331	protein_coding
FBgn0023215	FBtr0343578	FBpp0310175	Mnt [Source:FlyBase;Acc:FBgn0023215]	Mnt	31331	protein_coding
FBgn0023215	FBtr0307278	FBpp0298279	Mnt [Source:FlyBase;Acc:FBgn0023215]	Mnt	31331	protein_coding
FBgn0023215	FBtr0307277	FBpp0298278	Mnt [Source:FlyBase;Acc:FBgn0023215]	Mnt	31331	protein_coding
FBgn0023215	FBtr0070578	FBpp0070553	Mnt [Source:FlyBase;Acc:FBgn0023215]	Mnt	31331	protein_coding
FBgn0023215	FBtr0301824	FBpp0291038	Mnt [Source:FlyBase;Acc:FBgn0023215]	Mnt	31331	protein_coding
FBgn0023215	FBtr0301825	FBpp0291039	Mnt [Source:FlyBase;Acc:FBgn0023215]	Mnt	31331	protein_coding
FBgn0023215	FBtr0301822	FBpp0291036	Mnt [Source:FlyBase;Acc:FBgn0023215]	Mnt	31331	protein_coding
FBgn0259203	FBtr0299693	FBpp0288971	GH15104p1 [Source:UniProtKB/TrEMBL;Acc:B7Z0C9]	CG42307	7354423	protein_coding
FBgn0259203	FBtr0344452	FBpp0310824	GH15104p1 [Source:UniProtKB/TrEMBL;Acc:B7Z0C9]	CG42307	7354423	protein_coding
FBgn0259203	FBtr0299691	FBpp0288969	GH15104p1 [Source:UniProtKB/TrEMBL;Acc:B7Z0C9]	CG42307	7354423	protein_coding
FBgn0259203	FBtr0299692	FBpp0288970	GH15104p1 [Source:UniProtKB/TrEMBL;Acc:B7Z0C9]	CG42307	7354423	protein_coding
FBgn0051683	FBtr0081365	FBpp0080897	BcDNA.GH02384 [Source:UniProtKB/TrEMBL;Acc:Q9Y168]	CG31683	261623	protein_coding
FBgn0051683	FBtr0330662	FBpp0303512	BcDNA.GH02384 [Source:UniProtKB/TrEMBL;Acc:Q9Y168]	CG31683	261623	protein_coding
FBgn0011836	FBtr0332688	FBpp0304934	TBP-associated factor 2 [Source:FlyBase;Acc:FBgn0011836]	Taf2	39164	protein_coding
FBgn0011836	FBtr0076361	FBpp0076090	TBP-associated factor 2 [Source:FlyBase;Acc:FBgn0011836]	Taf2	39164	protein_coding
FBgn0053884	FBtr0091888	FBpp0091129	His2B:CG33884 [Source:FlyBase;Acc:FBgn0053884]	His2B:CG33884	3772058	protein_coding
FBgn0053884	FBtr0091888	FBpp0091129	His2B:CG33884 [Source:FlyBase;Acc:FBgn0053884]	His2B:CG33884	3772299	protein_coding
FBgn0053884	FBtr0091888	FBpp0091129	His2B:CG33884 [Source:FlyBase;Acc:FBgn0053884]	His2B:CG33884	3772276	protein_coding
FBgn0053884	FBtr0091888	FBpp0091129	His2B:CG33884 [Source:FlyBase;Acc:FBgn0053884]	His2B:CG33884	3772265	protein_coding
FBgn0053884	FBtr0091888	FBpp0091129	His2B:CG33884 [Source:FlyBase;Acc:FBgn0053884]	His2B:CG33884	3771891	protein_coding
FBgn0053884	FBtr0091888	FBpp0091129	His2B:CG33884 [Source:FlyBase;Acc:FBgn0053884]	His2B:CG33884	3772099	protein_coding
FBgn0053884	FBtr0091888	FBpp0091129	His2B:CG33884 [Source:FlyBase;Acc:FBgn0053884]	His2B:CG33884	3772166	protein_coding
FBgn0053884	FBtr0091888	FBpp0091129	His2B:CG33884 [Source:FlyBase;Acc:FBgn0053884]	His2B:CG33884	3772203	protein_coding
FBgn0053884	FBtr0091888	FBpp0091129	His2B:CG33884 [Source:FlyBase;Acc:FBgn0053884]	His2B:CG33884	326273	protein_coding
FBgn0053884	FBtr0091888	FBpp0091129	His2B:CG33884 [Source:FlyBase;Acc:FBgn0053884]	His2B:CG33884	3771957	protein_coding
FBgn0053884	FBtr0091888	FBpp0091129	His2B:CG33884 [Source:FlyBase;Acc:FBgn0053884]	His2B:CG33884	3772104	protein_coding
FBgn0053884	FBtr0091888	FBpp0091129	His2B:CG33884 [Source:FlyBase;Acc:FBgn0053884]	His2B:CG33884	3772013	protein_coding
FBgn0053884	FBtr0091888	FBpp0091129	His2B:CG33884 [Source:FlyBase;Acc:FBgn0053884]	His2B:CG33884	3772502	protein_coding
FBgn0053884	FBtr0091888	FBpp0091129	His2B:CG33884 [Source:FlyBase;Acc:FBgn0053884]	His2B:CG33884	3772081	protein_coding
FBgn0053884	FBtr0091888	FBpp0091129	His2B:CG33884 [Source:FlyBase;Acc:FBgn0053884]	His2B:CG33884	3772496	protein_coding
FBgn0053884	FBtr0091888	FBpp0091129	His2B:CG33884 [Source:FlyBase;Acc:FBgn0053884]	His2B:CG33884	3772248	protein_coding
FBgn0053884	FBtr0091888	FBpp0091129	His2B:CG33884 [Source:FlyBase;Acc:FBgn0053884]	His2B:CG33884	3771809	protein_coding
FBgn0053884	FBtr0091888	FBpp0091129	His2B:CG33884 [Source:FlyBase;Acc:FBgn0053884]	His2B:CG33884	3772336	protein_coding
FBgn0053884	FBtr0091888	FBpp0091129	His2B:CG33884 [Source:FlyBase;Acc:FBgn0053884]	His2B:CG33884	3772575	protein_coding
FBgn0053884	FBtr0091888	FBpp0091129	His2B:CG33884 [Source:FlyBase;Acc:FBgn0053884]	His2B:CG33884	3772271	protein_coding
FBgn0053884	FBtr0091888	FBpp0091129	His2B:CG33884 [Source:FlyBase;Acc:FBgn0053884]	His2B:CG33884	3772083	protein_coding
FBgn0053884	FBtr0091888	FBpp0091129	His2B:CG33884 [Source:FlyBase;Acc:FBgn0053884]	His2B:CG33884	3772264	protein_coding
FBgn0053884	FBtr0091888	FBpp0091129	His2B:CG33884 [Source:FlyBase;Acc:FBgn0053884]	His2B:CG33884	3772094	protein_coding
FBgn0027611	FBtr0080031	FBpp0079621	Lysosomal alpha-mannosidase [Source:FlyBase;Acc:FBgn0027611]	LM408	34437	protein_coding
FBgn0027611	FBtr0080030	FBpp0079620	Lysosomal alpha-mannosidase [Source:FlyBase;Acc:FBgn0027611]	LM408	34437	protein_coding
FBgn0038766	FBtr0083830	FBpp0083239	CG4854 [Source:UniProtKB/TrEMBL;Acc:Q9VDQ5]	CG4854	42391	protein_coding
FBgn0266052	FBtr0343376	-	-	CR44817	-	lincRNA
FBgn0035027	FBtr0072309	FBpp0072216	CG3511, isoform A [Source:UniProtKB/TrEMBL;Acc:Q960Q8]	CG3511	37926	protein_coding
FBgn0035027	FBtr0343484	FBpp0310092	CG3511, isoform A [Source:UniProtKB/TrEMBL;Acc:Q960Q8]	CG3511	37926	protein_coding
FBgn0053653	FBtr0091630	FBpp0088329	Calcium activated protein for secretion [Source:FlyBase;Acc:FBgn0053653]	Caps	-	protein_coding
FBgn0053653	FBtr0307333	FBpp0298334	Calcium activated protein for secretion [Source:FlyBase;Acc:FBgn0053653]	Caps	-	protein_coding
FBgn0053653	FBtr0091631	FBpp0088330	Calcium activated protein for secretion [Source:FlyBase;Acc:FBgn0053653]	Caps	-	protein_coding
FBgn0053653	FBtr0333702	FBpp0305855	Calcium activated protein for secretion [Source:FlyBase;Acc:FBgn0053653]	Caps	-	protein_coding
FBgn0053653	FBtr0307334	FBpp0298335	Calcium activated protein for secretion [Source:FlyBase;Acc:FBgn0053653]	Caps	-	protein_coding
FBgn0050238	FBtr0087197	-	transfer RNA:CR30238 [Source:FlyBase;Acc:FBgn0050238]	tRNA:CR30238	-	tRNA
FBgn0267629	FBtr0347080	-	-	CR45967	-	lincRNA
FBgn0034113	FBtr0087178	FBpp0086322	CG8060 [Source:UniProtKB/TrEMBL;Acc:A1ZAE2]	CG8060	36824	protein_coding
FBgn0043470	FBtr0088121	FBpp0087222	lambdaTry [Source:FlyBase;Acc:FBgn0043470]	lambdaTry	36214	protein_coding
FBgn0086687	FBtr0082627	FBpp0082096	Desaturase 1 [Source:FlyBase;Acc:FBgn0086687]	Desat1	117369	protein_coding
FBgn0086687	FBtr0082628	FBpp0082097	Desaturase 1 [Source:FlyBase;Acc:FBgn0086687]	Desat1	117369	protein_coding
FBgn0086687	FBtr0082630	FBpp0082099	Desaturase 1 [Source:FlyBase;Acc:FBgn0086687]	Desat1	117369	protein_coding
FBgn0086687	FBtr0082629	FBpp0082098	Desaturase 1 [Source:FlyBase;Acc:FBgn0086687]	Desat1	117369	protein_coding
FBgn0086687	FBtr0082626	FBpp0082095	Desaturase 1 [Source:FlyBase;Acc:FBgn0086687]	Desat1	117369	protein_coding
FBgn0266787	FBtr0345420	-	-	CR45252	-	lincRNA
FBgn0037200	FBtr0078552	FBpp0078203	FI01826p [Source:UniProtKB/TrEMBL;Acc:Q8IPS4]	CG11109	40507	protein_coding
FBgn0037200	FBtr0078553	FBpp0078204	FI01826p [Source:UniProtKB/TrEMBL;Acc:Q8IPS4]	CG11109	40507	protein_coding
FBgn0263355	FBtr0330203	FBpp0303236	Uncharacterized protein, isoform E [Source:UniProtKB/TrEMBL;Acc:M9PD98]	CG31688	35314	protein_coding
FBgn0263355	FBtr0273378	FBpp0271886	Uncharacterized protein, isoform E [Source:UniProtKB/TrEMBL;Acc:M9PD98]	CG31688	35314	protein_coding
FBgn0263355	FBtr0330204	FBpp0303237	Uncharacterized protein, isoform E [Source:UniProtKB/TrEMBL;Acc:M9PD98]	CG31688	35314	protein_coding
FBgn0263355	FBtr0308895	FBpp0301022	Uncharacterized protein, isoform E [Source:UniProtKB/TrEMBL;Acc:M9PD98]	CG31688	35314	protein_coding
FBgn0263355	FBtr0330661	FBpp0303511	Uncharacterized protein, isoform E [Source:UniProtKB/TrEMBL;Acc:M9PD98]	CG31688	35314	protein_coding
FBgn0259227	FBtr0299789	FBpp0289067	IP14232p [Source:UniProtKB/TrEMBL;Acc:Q0KI81]	CG42327	41401	protein_coding
FBgn0019830	FBtr0077731	FBpp0077414	congested-like trachea [Source:FlyBase;Acc:FBgn0019830]	colt	33470	protein_coding
FBgn0019830	FBtr0077734	FBpp0089377	congested-like trachea [Source:FlyBase;Acc:FBgn0019830]	colt	33470	protein_coding
FBgn0033865	FBtr0087650	FBpp0086776	CG6220 [Source:UniProtKB/TrEMBL;Acc:A1Z9G9]	CG6220	36520	protein_coding
FBgn0264962	FBtr0302109	FBpp0291319	Inverse regulator a [Source:FlyBase;Acc:FBgn0264962]	Inr-a	36658	protein_coding
FBgn0264962	FBtr0339986	FBpp0309007	Inverse regulator a [Source:FlyBase;Acc:FBgn0264962]	Inr-a	36658	protein_coding
FBgn0264962	FBtr0339985	FBpp0309006	Inverse regulator a [Source:FlyBase;Acc:FBgn0264962]	Inr-a	36658	protein_coding
FBgn0264962	FBtr0345528	FBpp0311632	Inverse regulator a [Source:FlyBase;Acc:FBgn0264962]	Inr-a	36658	protein_coding
FBgn0264962	FBtr0302294	FBpp0291500	Inverse regulator a [Source:FlyBase;Acc:FBgn0264962]	Inr-a	36658	protein_coding
FBgn0264962	FBtr0302560	FBpp0291716	Inverse regulator a [Source:FlyBase;Acc:FBgn0264962]	Inr-a	36658	protein_coding
FBgn0264962	FBtr0301513	FBpp0290728	Inverse regulator a [Source:FlyBase;Acc:FBgn0264962]	Inr-a	36658	protein_coding
FBgn0031604	FBtr0077439	FBpp0077129	Elongator complex protein 3 [Source:FlyBase;Acc:FBgn0031604]	Elp3	33649	protein_coding
FBgn0036908	FBtr0074927	FBpp0074696	LD31235p [Source:UniProtKB/TrEMBL;Acc:Q9VW40]	CG14103	40158	protein_coding
FBgn0036908	FBtr0333878	FBpp0306010	LD31235p [Source:UniProtKB/TrEMBL;Acc:Q9VW40]	CG14103	40158	protein_coding
FBgn0025742	FBtr0345290	FBpp0311457	myotubularin [Source:FlyBase;Acc:FBgn0025742]	mtm	33845	protein_coding
FBgn0025742	FBtr0079223	FBpp0078854	myotubularin [Source:FlyBase;Acc:FBgn0025742]	mtm	33845	protein_coding
FBgn0030352	FBtr0346165	FBpp0311993	severe impairment of CI with lengthened youth [Source:FlyBase;Acc:FBgn0030352]	sicily	32151	protein_coding
FBgn0030352	FBtr0073572	FBpp0073416	severe impairment of CI with lengthened youth [Source:FlyBase;Acc:FBgn0030352]	sicily	32151	protein_coding
FBgn0039930	FBtr0089222	FBpp0088286	Mpv17-like protein [Source:UniProtKB/Swiss-Prot;Acc:Q9V492]	CG11077	43831	protein_coding
FBgn0052638	FBtr0300453	FBpp0289681	FI19011p1 [Source:UniProtKB/TrEMBL;Acc:Q8IR72]	CG32638	318133	protein_coding
FBgn0265722	FBtr0340665	-	-	CR44529	-	lincRNA
FBgn0028468	FBtr0084009	FBpp0083412	tetracycline resistance [Source:FlyBase;Acc:FBgn0028468]	rtet	42500	protein_coding
FBgn0029708	FBtr0308916	FBpp0301042	Uncharacterized protein CG3556 [Source:UniProtKB/Swiss-Prot;Acc:Q9W4K2]	CG3556	31380	protein_coding
FBgn0029708	FBtr0070674	FBpp0070642	Uncharacterized protein CG3556 [Source:UniProtKB/Swiss-Prot;Acc:Q9W4K2]	CG3556	31380	protein_coding
FBgn0036838	FBtr0075041	FBpp0074808	CG3808 [Source:UniProtKB/TrEMBL;Acc:Q9VVV7]	CG3808	40074	protein_coding
FBgn0002626	FBtr0085592	FBpp0084958	Ribosomal protein L32 [Source:FlyBase;Acc:FBgn0002626]	RpL32	43573	protein_coding
FBgn0002626	FBtr0085594	FBpp0084960	Ribosomal protein L32 [Source:FlyBase;Acc:FBgn0002626]	RpL32	43573	protein_coding
FBgn0002626	FBtr0085593	FBpp0084959	Ribosomal protein L32 [Source:FlyBase;Acc:FBgn0002626]	RpL32	43573	protein_coding
FBgn0002626	FBtr0114555	FBpp0113047	Ribosomal protein L32 [Source:FlyBase;Acc:FBgn0002626]	RpL32	43573	protein_coding
FBgn0003189	FBtr0340156	FBpp0309142	rudimentary [Source:FlyBase;Acc:FBgn0003189]	r	32640	protein_coding
FBgn0003189	FBtr0340155	FBpp0309141	rudimentary [Source:FlyBase;Acc:FBgn0003189]	r	32640	protein_coding
FBgn0003189	FBtr0089734	FBpp0088675	rudimentary [Source:FlyBase;Acc:FBgn0003189]	r	32640	protein_coding
FBgn0052712	FBtr0300386	FBpp0289615	-	CG32712	318165	protein_coding
FBgn0037491	FBtr0339736	FBpp0308786	CG1227, isoform A [Source:UniProtKB/TrEMBL;Acc:Q9VI84]	CG1227	40872	protein_coding
FBgn0037491	FBtr0081598	FBpp0081116	CG1227, isoform A [Source:UniProtKB/TrEMBL;Acc:Q9VI84]	CG1227	40872	protein_coding
FBgn0039711	FBtr0303035	FBpp0292154	CG7824, isoform A [Source:UniProtKB/TrEMBL;Acc:Q9VAF3]	CG7824	43530	protein_coding
FBgn0039711	FBtr0089927	FBpp0088866	CG7824, isoform A [Source:UniProtKB/TrEMBL;Acc:Q9VAF3]	CG7824	43530	protein_coding
FBgn0032870	FBtr0081384	FBpp0080915	CG2608 [Source:UniProtKB/TrEMBL;Acc:Q9VIL2]	CG2608	35323	protein_coding
FBgn0261830	FBtr0303390	FBpp0292452	-	CG42762	10178795	protein_coding
FBgn0026313	FBtr0333757	FBpp0305899	X11L [Source:FlyBase;Acc:FBgn0026313]	X11L	252671	protein_coding
FBgn0026313	FBtr0301696	FBpp0290910	X11L [Source:FlyBase;Acc:FBgn0026313]	X11L	252671	protein_coding
FBgn0026313	FBtr0340621	FBpp0309485	X11L [Source:FlyBase;Acc:FBgn0026313]	X11L	252671	protein_coding
FBgn0026313	FBtr0074451	FBpp0074225	X11L [Source:FlyBase;Acc:FBgn0026313]	X11L	252671	protein_coding
FBgn0026313	FBtr0340620	FBpp0309484	X11L [Source:FlyBase;Acc:FBgn0026313]	X11L	252671	protein_coding
FBgn0031498	FBtr0077653	FBpp0077338	LD44813p [Source:UniProtKB/TrEMBL;Acc:Q9VQL2]	CG17260	33519	protein_coding
FBgn0031498	FBtr0344088	FBpp0310513	LD44813p [Source:UniProtKB/TrEMBL;Acc:Q9VQL2]	CG17260	33519	protein_coding
FBgn0031498	FBtr0335478	FBpp0307452	LD44813p [Source:UniProtKB/TrEMBL;Acc:Q9VQL2]	CG17260	33519	protein_coding
FBgn0260222	FBtr0300625	FBpp0289852	LD37882p1 [Source:UniProtKB/TrEMBL;Acc:E1JGR4]	CG42496	8674001	protein_coding
FBgn0260222	FBtr0342958	FBpp0309729	LD37882p1 [Source:UniProtKB/TrEMBL;Acc:E1JGR4]	CG42496	8674001	protein_coding
FBgn0031883	FBtr0344710	FBpp0311043	Caper [Source:FlyBase;Acc:FBgn0031883]	Caper	33989	protein_coding
FBgn0031883	FBtr0344708	FBpp0311041	Caper [Source:FlyBase;Acc:FBgn0031883]	Caper	33989	protein_coding
FBgn0031883	FBtr0089640	FBpp0088583	Caper [Source:FlyBase;Acc:FBgn0031883]	Caper	33989	protein_coding
FBgn0031883	FBtr0344711	FBpp0311044	Caper [Source:FlyBase;Acc:FBgn0031883]	Caper	33989	protein_coding
FBgn0031883	FBtr0344712	FBpp0311045	Caper [Source:FlyBase;Acc:FBgn0031883]	Caper	33989	protein_coding
FBgn0031883	FBtr0344709	FBpp0311042	Caper [Source:FlyBase;Acc:FBgn0031883]	Caper	33989	protein_coding
FBgn0031883	FBtr0089636	FBpp0088579	Caper [Source:FlyBase;Acc:FBgn0031883]	Caper	33989	protein_coding
FBgn0051140	FBtr0330371	FBpp0303397	Diacylglycerol kinase [Source:UniProtKB/TrEMBL;Acc:A0A0B4KHZ4]	CG31140	42836	protein_coding
FBgn0051140	FBtr0084497	FBpp0083885	Diacylglycerol kinase [Source:UniProtKB/TrEMBL;Acc:A0A0B4KHZ4]	CG31140	42836	protein_coding
FBgn0051140	FBtr0084498	FBpp0083886	Diacylglycerol kinase [Source:UniProtKB/TrEMBL;Acc:A0A0B4KHZ4]	CG31140	42836	protein_coding
FBgn0051140	FBtr0300963	FBpp0290185	Diacylglycerol kinase [Source:UniProtKB/TrEMBL;Acc:A0A0B4KHZ4]	CG31140	42836	protein_coding
FBgn0051140	FBtr0305041	FBpp0293578	Diacylglycerol kinase [Source:UniProtKB/TrEMBL;Acc:A0A0B4KHZ4]	CG31140	42836	protein_coding
FBgn0051140	FBtr0113392	FBpp0112304	Diacylglycerol kinase [Source:UniProtKB/TrEMBL;Acc:A0A0B4KHZ4]	CG31140	42836	protein_coding
FBgn0051140	FBtr0113393	FBpp0112305	Diacylglycerol kinase [Source:UniProtKB/TrEMBL;Acc:A0A0B4KHZ4]	CG31140	42836	protein_coding
FBgn0036560	FBtr0333614	FBpp0305791	CG5895, isoform A [Source:UniProtKB/TrEMBL;Acc:Q9VUX4]	CG5895	39752	protein_coding
FBgn0036560	FBtr0075437	FBpp0075195	CG5895, isoform A [Source:UniProtKB/TrEMBL;Acc:Q9VUX4]	CG5895	39752	protein_coding
FBgn0039058	FBtr0084401	FBpp0083793	Vacuolar H[+] ATPase AC39 subunit 2 [Source:FlyBase;Acc:FBgn0039058]	VhaAC39-2	42739	protein_coding
FBgn0259139	FBtr0089919	FBpp0088858	glorund [Source:FlyBase;Acc:FBgn0259139]	glo	41431	protein_coding
FBgn0259139	FBtr0089918	FBpp0088857	glorund [Source:FlyBase;Acc:FBgn0259139]	glo	41431	protein_coding
FBgn0259139	FBtr0089917	FBpp0088856	glorund [Source:FlyBase;Acc:FBgn0259139]	glo	41431	protein_coding
FBgn0011883	FBtr0087659	-	transfer RNA:ile:49Fc [Source:FlyBase;Acc:FBgn0011883]	tRNA:I:49Fc	-	tRNA
FBgn0085398	FBtr0344888	FBpp0311200	pickpocket 9 [Source:FlyBase;Acc:FBgn0085398]	ppk9	37498	protein_coding
FBgn0085398	FBtr0112594	FBpp0111506	pickpocket 9 [Source:FlyBase;Acc:FBgn0085398]	ppk9	37498	protein_coding
FBgn0083039	FBtr0113583	-	snoRNA:Psi18S-301 [Source:FlyBase;Acc:FBgn0083039]	snoRNA:Psi18S-301	-	snoRNA
FBgn0032515	FBtr0342632	FBpp0309561	loquacious [Source:FlyBase;Acc:FBgn0032515]	loqs	34751	protein_coding
FBgn0032515	FBtr0100220	FBpp0099590	loquacious [Source:FlyBase;Acc:FBgn0032515]	loqs	34751	protein_coding
FBgn0032515	FBtr0342633	FBpp0309562	loquacious [Source:FlyBase;Acc:FBgn0032515]	loqs	34751	protein_coding
FBgn0032515	FBtr0303269	FBpp0292361	loquacious [Source:FlyBase;Acc:FBgn0032515]	loqs	34751	protein_coding
FBgn0032515	FBtr0080497	FBpp0080075	loquacious [Source:FlyBase;Acc:FBgn0032515]	loqs	34751	protein_coding
FBgn0032515	FBtr0080498	FBpp0080076	loquacious [Source:FlyBase;Acc:FBgn0032515]	loqs	34751	protein_coding
FBgn0032170	FBtr0079887	FBpp0079483	CG4658, isoform A [Source:UniProtKB/TrEMBL;Acc:Q9VL57]	CG4658	34325	protein_coding
