Gene stable ID	Transcript stable ID	Protein stable ID	Gene description	Gene name	NCBI gene (formerly Entrezgene) ID	Gene type
FBgn0013718	FBtr0100043	FBpp0100130	-	nuf	39572	protein_coding
FBgn0013718	FBtr0307191	FBpp0298020	-	nuf	39572	protein_coding
FBgn0013718	FBtr0306623	FBpp0297578	-	nuf	39572	protein_coding
FBgn0013718	FBtr0100040	FBpp0075474	-	nuf	39572	protein_coding
FBgn0013718	FBtr0100042	FBpp0075476	-	nuf	39572	protein_coding
FBgn0013718	FBtr0100041	FBpp0089174	-	nuf	39572	protein_coding
FBgn0013718	FBtr0100044	FBpp0100129	-	nuf	39572	protein_coding
FBgn0013718	FBtr0306620	FBpp0297575	-	nuf	39572	protein_coding
FBgn0259958	FBtr0304639	FBpp0293181	-	Sfp24F	8674016	protein_coding
FBgn0259958	FBtr0300304	FBpp0289532	-	Sfp24F	8674016	protein_coding
FBgn0050419	FBtr0072275	FBpp0072182	-	CG30419	37879	protein_coding
FBgn0023525	FBtr0070417	FBpp0070401	-	CG3191	31209	protein_coding
FBgn0023525	FBtr0342768	FBpp0309620	-	CG3191	31209	protein_coding
FBgn0261938	FBtr0077989	FBpp0077654	-	mtRNApol	33285	protein_coding
FBgn0261938	FBtr0332273	FBpp0304562	-	mtRNApol	33285	protein_coding
FBgn0037120	FBtr0113184	FBpp0112097	-	CG11247	40414	protein_coding
FBgn0037120	FBtr0332769	FBpp0305006	-	CG11247	40414	protein_coding
FBgn0037120	FBtr0078459	FBpp0078113	-	CG11247	40414	protein_coding
FBgn0037120	FBtr0078458	FBpp0078112	-	CG11247	40414	protein_coding
FBgn0036782	FBtr0310156	FBpp0301841	-	CG7320	40010	protein_coding
FBgn0040010	FBtr0332631	FBpp0304877	-	CG17493	3355126	protein_coding
FBgn0040010	FBtr0332632	FBpp0304878	-	CG17493	3355126	protein_coding
FBgn0040010	FBtr0332630	FBpp0304876	-	CG17493	3355126	protein_coding
FBgn0037486	FBtr0332536	FBpp0304803	-	CG14605	40867	protein_coding
FBgn0037486	FBtr0081601	FBpp0081119	-	CG14605	40867	protein_coding
FBgn0037486	FBtr0332537	FBpp0304804	-	CG14605	40867	protein_coding
FBgn0029084	FBtr0071766	FBpp0071680	-	gom	43934	protein_coding
FBgn0039705	FBtr0085529	FBpp0084895	-	Atg16	326115	protein_coding
FBgn0039705	FBtr0085530	FBpp0084896	-	Atg16	326115	protein_coding
FBgn0039705	FBtr0339144	FBpp0308289	-	Atg16	326115	protein_coding
FBgn0039705	FBtr0085528	FBpp0084894	-	Atg16	326115	protein_coding
FBgn0040077	FBtr0091748	FBpp0099895	-	primo-1	3772179	protein_coding
FBgn0040077	FBtr0091747	FBpp0099893	-	primo-1	3772179	protein_coding
FBgn0052283	FBtr0073060	FBpp0072924	-	Drsl3	317955	protein_coding
FBgn0051245	FBtr0083773	FBpp0083187	-	CG31245	42316	protein_coding
FBgn0039642	FBtr0335407	FBpp0307390	-	CG11882	43446	protein_coding
FBgn0039642	FBtr0085411	FBpp0084780	-	CG11882	43446	protein_coding
FBgn0266915	FBtr0345773	-	-	lncRNA:CR45375	-	ncRNA
FBgn0014028	FBtr0086156	FBpp0085489	-	SdhB	35590	protein_coding
FBgn0065051	FBtr0091708	-	-	scaRNA:MeU5-U42	-	snoRNA
FBgn0034797	FBtr0071943	FBpp0071854	-	nahoda	37641	protein_coding
FBgn0034797	FBtr0071942	FBpp0071853	-	nahoda	37641	protein_coding
FBgn0034797	FBtr0304795	FBpp0293335	-	nahoda	37641	protein_coding
FBgn0038924	FBtr0084186	FBpp0083584	-	CG6028	42589	protein_coding
FBgn0038217	FBtr0082952	FBpp0082411	-	CG14840	41734	protein_coding
FBgn0265152	FBtr0336986	-	-	lncRNA:CR44221	-	ncRNA
FBgn0016978	FBtr0079355	FBpp0078983	-	snRNP-U1-70K	33982	protein_coding
FBgn0016978	FBtr0331375	FBpp0303793	-	snRNP-U1-70K	33982	protein_coding
FBgn0085341	FBtr0333152	FBpp0305356	-	CG34312	5740793	protein_coding
FBgn0085341	FBtr0112510	FBpp0111422	-	CG34312	5740793	protein_coding
FBgn0085341	FBtr0346513	FBpp0312131	-	CG34312	5740793	protein_coding
FBgn0038621	FBtr0083654	FBpp0083069	-	CG10864	42222	protein_coding
FBgn0025800	FBtr0071192	FBpp0071140	-	Smox	31738	protein_coding
FBgn0025800	FBtr0340159	FBpp0309145	-	Smox	31738	protein_coding
FBgn0037293	FBtr0078842	FBpp0078483	-	CG12007	40617	protein_coding
FBgn0002936	FBtr0078023	FBpp0077688	-	ninaA	33271	protein_coding
FBgn0267887	FBtr0347440	-	-	CR46175	-	pseudogene
FBgn0033893	FBtr0087599	FBpp0086725	-	CG18371	36556	protein_coding
FBgn0040232	FBtr0332205	FBpp0304514	-	cmet	53561	protein_coding
FBgn0040232	FBtr0332204	FBpp0304513	-	cmet	53561	protein_coding
FBgn0040232	FBtr0332202	FBpp0304511	-	cmet	53561	protein_coding
FBgn0040232	FBtr0332203	FBpp0304512	-	cmet	53561	protein_coding
FBgn0265307	FBtr0339348	-	-	lncRNA:CR44280	-	ncRNA
FBgn0266312	FBtr0344041	-	-	lncRNA:CR44977	-	ncRNA
FBgn0052106	FBtr0307888	FBpp0300322	-	CG32106	317855	protein_coding
FBgn0052106	FBtr0307887	FBpp0300321	-	CG32106	317855	protein_coding
FBgn0032969	FBtr0344210	FBpp0310618	-	CG2528	35435	protein_coding
FBgn0032969	FBtr0347504	FBpp0312578	-	CG2528	35435	protein_coding
FBgn0046763	FBtr0084047	FBpp0083449	-	CG17278	50050	protein_coding
FBgn0025682	FBtr0089941	FBpp0088880	-	scf	38145	protein_coding
FBgn0025682	FBtr0089942	FBpp0088881	-	scf	38145	protein_coding
FBgn0266626	FBtr0344913	-	-	asRNA:CR45133	-	ncRNA
FBgn0266626	FBtr0344914	-	-	asRNA:CR45133	-	ncRNA
FBgn0085482	FBtr0299518	FBpp0288793	-	CG34453	5740693	protein_coding
FBgn0032481	FBtr0080488	FBpp0080066	-	CG16972	34715	protein_coding
FBgn0265190	FBtr0339112	FBpp0308257	-	PIG-S	42979	protein_coding
FBgn0259703	FBtr0299956	FBpp0289233	-	CG42357	7354373	protein_coding
FBgn0002863	FBtr0084561	FBpp0083946	-	Acp95EF	47852	protein_coding
FBgn0040060	FBtr0077038	FBpp0076746	-	yip7	38680	protein_coding
FBgn0050169	FBtr0072302	FBpp0072209	-	Brca2	37916	protein_coding
FBgn0034462	FBtr0336983	FBpp0307922	-	CG15905	37257	protein_coding
FBgn0034462	FBtr0303023	FBpp0292142	-	CG15905	37257	protein_coding
FBgn0025631	FBtr0070341	FBpp0070327	-	moody	31168	protein_coding
FBgn0025631	FBtr0303043	FBpp0292162	-	moody	31168	protein_coding
FBgn0025631	FBtr0310288	FBpp0301971	-	moody	31168	protein_coding
FBgn0025631	FBtr0303044	FBpp0292163	-	moody	31168	protein_coding
FBgn0025631	FBtr0303045	FBpp0292164	-	moody	31168	protein_coding
FBgn0025631	FBtr0310289	FBpp0301972	-	moody	31168	protein_coding
FBgn0034822	FBtr0071978	FBpp0071888	-	RpL37b	37669	protein_coding
FBgn0028418	FBtr0075722	FBpp0075465	-	Lk	47746	protein_coding
FBgn0038890	FBtr0301211	FBpp0290429	-	CG7956	42545	protein_coding
FBgn0038890	FBtr0301212	FBpp0290430	-	CG7956	42545	protein_coding
FBgn0038890	FBtr0334664	FBpp0306726	-	CG7956	42545	protein_coding
FBgn0038890	FBtr0084112	FBpp0083511	-	CG7956	42545	protein_coding
FBgn0038890	FBtr0334663	FBpp0306725	-	CG7956	42545	protein_coding
FBgn0266743	FBtr0345245	-	-	lncRNA:CR45216	-	ncRNA
FBgn0266633	FBtr0344923	-	-	asRNA:CR45140	-	ncRNA
FBgn0266633	FBtr0344925	-	-	asRNA:CR45140	-	ncRNA
FBgn0266633	FBtr0344924	-	-	asRNA:CR45140	-	ncRNA
FBgn0004573	FBtr0085746	FBpp0085108	-	5-HT7	43669	protein_coding
FBgn0004573	FBtr0334508	FBpp0306575	-	5-HT7	43669	protein_coding
FBgn0267066	FBtr0346052	-	-	lncRNA:CR45510	-	ncRNA
FBgn0259841	FBtr0300140	-	-	Su(Ste):CR42410	-	ncRNA
FBgn0266229	FBtr0343892	-	-	lncRNA:CR44924	-	ncRNA
FBgn0039687	FBtr0085461	FBpp0084827	-	Naa40	43500	protein_coding
FBgn0034730	FBtr0071830	FBpp0071741	-	ppk12	37566	protein_coding
FBgn0000449	FBtr0073205	FBpp0073061	-	dib	45282	protein_coding
FBgn0043457	FBtr0273268	FBpp0271776	-	CG5180	192508	protein_coding
FBgn0043457	FBtr0340547	FBpp0309446	-	CG5180	192508	protein_coding
FBgn0036689	FBtr0089584	FBpp0088545	-	CG7730	39908	protein_coding
FBgn0053806	FBtr0091810	FBpp0091053	-	His3:CG33806	3771729	protein_coding
FBgn0053806	FBtr0091810	FBpp0091053	-	His3:CG33806	318847	protein_coding
FBgn0053806	FBtr0091810	FBpp0091053	-	His3:CG33806	3771959	protein_coding
FBgn0053806	FBtr0091810	FBpp0091053	-	His3:CG33806	3772370	protein_coding
FBgn0053806	FBtr0091810	FBpp0091053	-	His3:CG33806	3772032	protein_coding
FBgn0053806	FBtr0091810	FBpp0091053	-	His3:CG33806	3772607	protein_coding
FBgn0053806	FBtr0091810	FBpp0091053	-	His3:CG33806	3772517	protein_coding
FBgn0053806	FBtr0091810	FBpp0091053	-	His3:CG33806	3772173	protein_coding
FBgn0053806	FBtr0091810	FBpp0091053	-	His3:CG33806	3772374	protein_coding
FBgn0053806	FBtr0091810	FBpp0091053	-	His3:CG33806	3771792	protein_coding
FBgn0053806	FBtr0091810	FBpp0091053	-	His3:CG33806	3772149	protein_coding
FBgn0053806	FBtr0091810	FBpp0091053	-	His3:CG33806	3772163	protein_coding
FBgn0053806	FBtr0091810	FBpp0091053	-	His3:CG33806	3772619	protein_coding
FBgn0053806	FBtr0091810	FBpp0091053	-	His3:CG33806	3772198	protein_coding
FBgn0053806	FBtr0091810	FBpp0091053	-	His3:CG33806	3772191	protein_coding
FBgn0053806	FBtr0091810	FBpp0091053	-	His3:CG33806	3772421	protein_coding
FBgn0053806	FBtr0091810	FBpp0091053	-	His3:CG33806	3771723	protein_coding
FBgn0053806	FBtr0091810	FBpp0091053	-	His3:CG33806	3772552	protein_coding
FBgn0053806	FBtr0091810	FBpp0091053	-	His3:CG33806	3772189	protein_coding
FBgn0053806	FBtr0091810	FBpp0091053	-	His3:CG33806	3771771	protein_coding
FBgn0053806	FBtr0091810	FBpp0091053	-	His3:CG33806	3772489	protein_coding
FBgn0053806	FBtr0091810	FBpp0091053	-	His3:CG33806	3772231	protein_coding
FBgn0053806	FBtr0091810	FBpp0091053	-	His3:CG33806	3772518	protein_coding
FBgn0022382	FBtr0112902	FBpp0111815	-	Pka-R2	36041	protein_coding
FBgn0022382	FBtr0112901	FBpp0111814	-	Pka-R2	36041	protein_coding
FBgn0022382	FBtr0088438	FBpp0087524	-	Pka-R2	36041	protein_coding
FBgn0022382	FBtr0088437	FBpp0087523	-	Pka-R2	36041	protein_coding
FBgn0267601	FBtr0347047	-	-	lncRNA:CR45939	-	ncRNA
FBgn0085734	FBtr0114183	-	-	CR40450	-	pseudogene
FBgn0267480	FBtr0346852	-	-	asRNA:CR45830	-	ncRNA
FBgn0030578	FBtr0073936	FBpp0073753	-	CG5347	32403	protein_coding
FBgn0037885	FBtr0304708	FBpp0293251	-	CG17721	41354	protein_coding
FBgn0037885	FBtr0304707	FBpp0293250	-	CG17721	41354	protein_coding
FBgn0037885	FBtr0082354	FBpp0081830	-	CG17721	41354	protein_coding
FBgn0011274	FBtr0301578	FBpp0290793	-	Dif	35045	protein_coding
FBgn0011274	FBtr0301577	FBpp0290792	-	Dif	35045	protein_coding
FBgn0011274	FBtr0081008	FBpp0080561	-	Dif	35045	protein_coding
FBgn0011274	FBtr0081009	FBpp0080562	-	Dif	35045	protein_coding
FBgn0032613	FBtr0080928	FBpp0080482	-	Nepl9	35020	protein_coding
FBgn0259855	FBtr0300152	-	-	Su(Ste):CR42424	-	ncRNA
FBgn0028573	FBtr0076064	FBpp0075796	-	prc	43930	protein_coding
FBgn0033222	FBtr0113050	FBpp0111963	-	CG12824	35727	protein_coding
FBgn0033222	FBtr0088830	FBpp0087906	-	CG12824	35727	protein_coding
FBgn0034328	FBtr0086729	FBpp0085908	-	IM23	37099	protein_coding
FBgn0011884	FBtr0087660	-	-	tRNA:Ile-AAT-1-6	-	tRNA
FBgn0015572	FBtr0081546	FBpp0081070	-	alpha-Est4	40906	protein_coding
FBgn0033234	FBtr0309843	FBpp0301577	-	MFS12	35745	protein_coding
FBgn0033234	FBtr0088849	FBpp0087925	-	MFS12	35745	protein_coding
FBgn0033234	FBtr0304751	FBpp0293293	-	MFS12	35745	protein_coding
FBgn0061196	FBtr0070727	FBpp0070695	-	CG15468	31426	protein_coding
FBgn0050463	FBtr0113380	FBpp0112292	-	Pgant9	246627	protein_coding
FBgn0050463	FBtr0113379	FBpp0112291	-	Pgant9	246627	protein_coding
FBgn0050463	FBtr0113381	FBpp0112293	-	Pgant9	246627	protein_coding
FBgn0050463	FBtr0087112	FBpp0086258	-	Pgant9	246627	protein_coding
FBgn0050463	FBtr0087113	FBpp0086259	-	Pgant9	246627	protein_coding
FBgn0036784	FBtr0075132	FBpp0074898	-	CG5103	40012	protein_coding
FBgn0015838	FBtr0088566	FBpp0087647	-	Vang	35922	protein_coding
FBgn0015838	FBtr0330624	FBpp0303474	-	Vang	35922	protein_coding
FBgn0037307	FBtr0078820	FBpp0078462	-	Tim17a2	40632	protein_coding
FBgn0001255	FBtr0310412	FBpp0302560	-	ImpE3	48239	protein_coding
FBgn0039799	FBtr0346147	FBpp0311975	-	CG15543	43647	protein_coding
FBgn0039799	FBtr0085700	FBpp0085062	-	CG15543	43647	protein_coding
FBgn0034084	FBtr0087249	FBpp0086387	-	CG8435	36789	protein_coding
FBgn0034460	FBtr0086469	FBpp0085665	-	CG18367	37255	protein_coding
FBgn0265735	FBtr0340689	-	-	lncRNA:CR44542	-	ncRNA
FBgn0029123	FBtr0079733	FBpp0079335	-	SoxN	44275	protein_coding
FBgn0029123	FBtr0330210	FBpp0303243	-	SoxN	44275	protein_coding
FBgn0025595	FBtr0079310	FBpp0089220	-	AkhR	33942	protein_coding
FBgn0025595	FBtr0079308	FBpp0078938	-	AkhR	33942	protein_coding
FBgn0025595	FBtr0079309	FBpp0078939	-	AkhR	33942	protein_coding
FBgn0025595	FBtr0332331	FBpp0304609	-	AkhR	33942	protein_coding
FBgn0038976	FBtr0301486	FBpp0290701	-	Pfdn5	42647	protein_coding
FBgn0038976	FBtr0084257	FBpp0083650	-	Pfdn5	42647	protein_coding
FBgn0030344	FBtr0073601	FBpp0073438	-	Nrd1	32143	protein_coding
FBgn0053451	FBtr0086443	-	-	5SrRNA:CR33451	-	rRNA
FBgn0038649	FBtr0083682	FBpp0083097	-	CG7718	42254	protein_coding
FBgn0037296	FBtr0078831	FBpp0078473	-	Prosbeta2R2	40621	protein_coding
FBgn0051410	FBtr0273369	FBpp0271877	-	Npc2e	326136	protein_coding
FBgn0003741	FBtr0075364	FBpp0075123	-	tra	39849	protein_coding
FBgn0003741	FBtr0100244	FBpp0099630	-	tra	39849	protein_coding
FBgn0032877	FBtr0336825	FBpp0307791	-	CG2617	35331	protein_coding
FBgn0032877	FBtr0081391	FBpp0080921	-	CG2617	35331	protein_coding
FBgn0040347	FBtr0070170	FBpp0070165	-	mus81	31044	protein_coding
FBgn0052600	FBtr0073913	FBpp0073730	-	dpr8	32387	protein_coding
FBgn0052600	FBtr0343518	FBpp0310122	-	dpr8	32387	protein_coding
FBgn0011296	FBtr0336685	FBpp0307666	-	l(2)efl	37744	protein_coding
FBgn0011296	FBtr0072100	FBpp0072009	-	l(2)efl	37744	protein_coding
FBgn0033763	FBtr0301237	FBpp0290455	-	CG8646	36394	protein_coding
FBgn0039141	FBtr0445311	FBpp0401488	-	spas	42846	protein_coding
FBgn0039141	FBtr0084533	FBpp0083918	-	spas	42846	protein_coding
FBgn0039141	FBtr0445310	FBpp0401487	-	spas	42846	protein_coding
FBgn0039141	FBtr0084534	FBpp0083919	-	spas	42846	protein_coding
FBgn0039141	FBtr0346099	FBpp0311932	-	spas	42846	protein_coding
FBgn0039141	FBtr0321260	FBpp0302812	-	spas	42846	protein_coding
